Порядковый номер,Наименование учреждения,Тип учреждения,ИНН,ОГРН,Адрес,Район города,Руководитель,Телефон,Факс,Электронная почта,Сайт
1,"Государственное бюджетное нетиповое образовательное учреждение ""Санкт-Петербургский городской Дворец творчества юных""",Организация дополнительного образования,7808023241,1027809227060,"191011, г.Санкт-Петербург, Невский проспект, дом 39, литера А",Центральный,Генеральный директор: Катунова Мария Ренгольдовна,7-812-314-72-81,7-812-310-14-14,Info.gdtyu@obr.gov.spb.ru,Http://www.anichkov.ru/
2,Государственное бюджетное нетиповое учреждение дополнительного образования Дворец учащейся молодежи Санкт-Петербурга,Организация дополнительного образования,7825431466,1037843081880,"191186, г.Санкт-Петербург, Малая Конюшенная улица, дом 1-3, литера В",Центральный,Директор: Борщевский Андрей Александрович,8-812-571-08-89,8-812-571-08-89,Adm.dum@obr.gov.spb.ru.,Http://dumspb.ru/
3,"Государственное бюджетное нетиповое образовательное учреждение детский оздоровительнно - образовательный туристский центр Санкт-Петербурга ""Балтийский берег""",Организация дополнительного образования,7825465497,1037843064907,"191119, г.Санкт-Петербург, улица Черняховского, дом 49, литера А",Центральный,Генеральный директор: Заикин Андрей Анатольевич,7-812-764-04-00,7-812-764-04-00,Info.bb@obr.gov.spb.ru,Www.balticbereg.ru
4,Государственное бюджетное нетиповое образовательное учреждение Санкт-Петербургский городской центр детского технического творчества,Организация дополнительного образования,7825706985,1037843045459,"193036, г.Санкт-Петербург, 6-я Советская улица, дом 3",Центральный,Директор: Думанский Антон Николаевич,8-812-241-27-01,8-812-241-27-02,Gorcentr@obr.gov.spb.ru,Www.center-tvorchestva.ru
5,Государственное бюджетное общеобразовательное учреждение Вторая Санкт-Петербургская Гимназия,Общеобразовательные учреждения,7812017321,1027810346387,"190000, г.Санкт-Петербург, Казанская улица, дом 27, литера А",Адмиралтейский,Директор: Мардер Людмила Маратовна,8-812-315-67-89,8-812-315-67-89,Info.2spbg@obr.gov.spb.ru,Www.2spbg.ru
6,"Государственное бюджетное общеобразовательное учреждение ""Санкт-Петербургский губернаторский физико-математический лицей №30""",Общеобразовательные учреждения,7801136447,1027800551130,"г.Санкт-Петербург, улица Шевченко, дом 23, корпус 2, литера А",Василеостровский,Директор: Третьяков Алексей Андреевич,8-812-355-88-57,8-812-323-47-78,Pml30@obr.gov.spb.ru,Http://www.school30.spb.ru
7,Государственное бюджетное общеобразовательное учреждение основная общеобразовательная школа № 132,Общеобразовательные учреждения,7804107187,1027802516720,"195027, г.Санкт-Петербург, Свердловская набережная, дом 36, литера А",Калининский,И.о. Директора: Безрукова Светлана Андреевна,8-812-225-07-39,8-812-225-07-39,Info.school132@obr.gov.spb.ru,Http://school-132.ru
8,"Государственное бюджетное общеобразовательное учреждение ""Академическая гимназия № 56"" Санкт-Петербурга",Общеобразовательные учреждения,7813124291,1027806857561,"197136, г.Санкт-Петербург, Чкаловский проспект, дом 35, литера А",Петроградский,Директор: Данилов Сергей Владиленович,8-812-346-00-87,8-812-346-00-85,Info.gim56@obr.gov.spb.ru,Www.school56.spb.ru
9,"Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей №239""",Общеобразовательные учреждения,7825430399,1027809191442,"191028, г.Санкт-Петербург, Кирочная улица, дом 8, литера А",Центральный,Директор: Пратусевич Максим Яковлевич,7-812-272-96-68,7-812-272-96-68,Info.lic239@obr.gov.spb.ru,Www.239.ru
10,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Радиотехнический колледж""",Профессиональная образовательная организация,7813047632,1027806887184,"199155, г.Санкт-Петербург, набережная реки Смоленки, дом 1, литера А",Василеостровский,Директор: Добрякова Марина Геннадьевна,8-812-405-85-59,8-812-405-85-59,Info@spb-rtk.ru,Www.rtplspb.ru
11,"Санкт-Петербургское Государственное бюджетное профессиональное образовательное учреждение ""Электромашиностроительный колледж""",Профессиональная образовательная организация,7810260296,1037821013724,"196128, г.Санкт-Петербург, Варшавская улица, дом 7, литера А",Московский,Директор: Гусев Александр Владимирович,8-812-369-31-71,8-812-369-37-13,Info.emk@obr.gov.spb.ru,Www.empl-2.ru
12,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Ижорский колледж""",Профессиональная образовательная организация,7817005305,1037839001540,"Санкт-Петербург, город Колпино, бульвар Трудящихся, дом 29/52, литера А",Колпинский,Директор: Степанов Игорь Анатольевич,8-812-246-06-05,8-812-246-06-05,Director.izhorskiy@obr.gov.ru.,Ipl.edu.ru
13,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Техникум ""Приморский""",Профессиональная образовательная организация,7814001535,1027807589633,"г.Санкт-Петербург, проспект Сизова, дом 15, литера А",Приморский,Директор: Горохов Андрей Владимирович,8-812-417-29-62,8-812-417-29-62,Pt_primorsky@obr.gov.spb.ru,Www.tehnikumprimorski.ru
14,"Санкт-Петербургское Государственное бюджетное профессиональное образовательное учреждение ""Колледж судостроения и прикладных технологий""",Профессиональная образовательная организация,7805059017,1037811065665,"Санкт-Петербург, Кронштадтская улица, дом 5, литера А",Кировский,Директор: Женаев Анатолий Леонидович,8-812-783-11-95,8-812-783-21-20,Ksipt@obr.gov.spb.ru,WWW.PL-25.RU
15,"Санкт - Петербургское государственное бюджетное профессиональное образовательное учреждение ""Охтинский колледж""",Профессиональная образовательная организация,7806003779,1037816042538,"г.Санкт-Петербург, Республиканская улица, дом 39, литера А",Красногвардейский,Директор: Красновская Галина Николаевна,8-812-528-68-67,8-812-528-67-56,Ohtacoll@obr.gov.spb.ru,Www.oxtakol.ru
16,"Санкт-Петербургское государственное автономное профессиональное образовательное учреждение ""Колледж туризма и гостиничного сервиса""",Профессиональная образовательная организация,7813384469,1077847492909,"197022, г.Санкт-Петербург, набережная реки Карповки, дом 11, литера А",Петроградский,Директор: Антонова Светлана Александровна,8-812-234-23-12,8-812-234-94-37,Ktgs@obr.gov.spb.ru,Www.ktgs.ru
17,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Промышленно-технологический колледж имени Н.И. Путилова""",Профессиональная образовательная организация,7805011223,1027802762778,"198188, г.Санкт-Петербург, улица Маршала Говорова, дом 18, литера А",Кировский,Директор: Шорников Геннадий Федорович,8-812-786-92-63,8-812-786-92-63,Info.ptkspb@obr.gov.spb.ru.,Http://www.my-ptk.ru/
18,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Многофункциональный региональный центр прикладных квалификаций ""Техникум энергомашиностроения и металлообработки""",Профессиональная образовательная организация,7804113173,1037808002759,"195197, г.Санкт-Петербург, улица Жукова, дом 7, литера А",Калининский,Директор: Пшонко Виктор Анатольевич,8-812-246-91-10,8-812-544-68-26,Info.teim@obr.gov.spb.ru,Www.pu43spb.ru
19,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Оптико-механический лицей""",Профессиональная образовательная организация,7804041560,1027802518590,"г.Санкт-Петербург, Полюстровский проспект, дом 61, литера А",Калининский,Директор: Костюк Константин Васильевич,8-812-296-63-29,8-812-296-63-28,Info.ompl@obr.gov.spb.ru,Http://ompl.ru
20,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж ""ПетроСтройСервис""",Профессиональная образовательная организация,7814022800,1037832009346,"197227, г.Санкт-Петербург, проспект Сизова, дом 17, литера А",Приморский,Директор: Ивилян Имелс Артемович,8-812-393-40-66,8-812-393-40-66,Sipl50@obr.gov.spb.ru,Http://www.sites/googl.com/site/nposipl50/
21,Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение «Колледж банковского дела и информационных систем»,Профессиональная образовательная организация,7804023441,1027802518996,"195274, г.Санкт-Петербург, Учительская улица, дом 1, литера А",Калининский,Директор: Златин Никита Андреевич,8-812-558-27-52,8-812-559-07-12,Wbsh@obr.gov.spb.ru,Www.wbsh.spb.ru
22,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Академия реставрации и дизайна""",Профессиональная образовательная организация,7805305350,1157847036016,"198302, г.Санкт-Петербург, улица Морской Пехоты, дом 14, литера А",Кировский,Директор: Добрынина Ольга Юрьевна,8-812-757-40-42,8-812-753-77-00,Spbrkk@obr.gov.spb.ru,Spbrkk.ru
24,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Невский колледж имени А.Г. Неболсина""",Профессиональная образовательная организация,7802072235,1027801558047,"194021, г.Санкт-Петербург, 2-й Муринский проспект, дом 43, литера А",Выборгский,Директор: Палагин Владимир Васильевич,8-812-552-07-26,8-812-552-11-93,Nevskiy.nkn@obr.gov.spb.ru,Www.nppl.su
25,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж метростроя""",Профессиональная образовательная организация,7804031315,1027802493421,"195276, г.Санкт-Петербург, улица Демьяна Бедного, дом 21, литера А",Калининский,Директор: Филатов Александр Дмитриевич,8-812-558-37-37,8-812-558-12-28,Kolm@obr.gov.spb.ru,Www.licey_metrostroya.spb.ru
26,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Колледж Петербургской моды""",Профессиональная образовательная организация,7816030115,1027808001352,"г.Санкт-Петербург, Софийская улица, дом 19, корпус 1, литера А",Фрунзенский,Директор: Коротеева Ольга Сергеевна,8-812-268-84-17,8-812-268-84-17,Info.kpm@obr.gov.spb.ru,Http://spbmoda.ru/
27,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Лицей сервиса и индустриальных технологий""",Профессиональная образовательная организация,7813054703,1037828025179,"г.Санкт-Петербург, Учительская улица, дом 21, литера А",Калининский,Директор: Богданова Юлия Васильевна,8-812-590-11-11,8-812-590-11-11,Info.lsit@obr.gov.spb.ru,Www.lsit70.ru
