№,Полное наименование кладбищ,Адрес,Район города,ИНН,Руководитель,Телефон,Факс,Режим работы,Электронная почта,Примечания
1,Богословское,"195271,
Санкт Петербург, пр.Мечникова, д.31",КАЛИНИНСКИЙ,7805162198,"ООО АЛЬЯНС
195271, Санкт-Петербург, пр. Мечникова. д.31, лит. А. 
Директор Зайко Владимир Андреевич",544-75-23,544-75-24,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",bgslv@mail.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
2,Ковалевское кладбище,"188640,
Ленинградская обл., Всеволожский район, платформа Ковалево",ВСЕВОЛОЖСКИЙ,7806029819,"ООО РИТЭК
195027, Санкт-Петербург, пр. Металистов, д.5, лит. А.
Генеральный директор Фадеев Сергей Станиславович",956-07-74,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",kovali-di@mail.ru,общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
3,Южное,"196140,
Санкт-Петербург, Волхонское шосссе,дом 1",МОСКОВСКИЙ,7816140196,"ООО Виалин
196140, Санкт-петербург, шоссе Волхонское, д.1, лит. Б.
Генеральный директор Киселев Александр Рэмович",324-61-67,324-65-06,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",yugnoe@mail.ru,общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
4,Никольское кладбище,"191167,
Санкт-Петербург, наб. р. Монастырки, д. 1, литера А",ЦЕНТРАЛЬНЫЙ,7805166805,"ООО ОНИКС
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов Олег Николаевич",274-29-52,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",oniks-2@mail.ru,историко-мемориальное безвозмездно предоставляются участки земли для погребения
5,Комм. Площадка Александро-Невской лавры,"191167, 
Санкт-Петербург, наб.р. Монастырки, д. 1, литера В",ЦЕНТРАЛЬНЫЙ,7805166805,"ООО ОНИКС
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов Олег Николаевич",274-29-52,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",oniks-2@mail.ru,"общественное кладбище безвозмездно предоставляются участки земли
для погребения, с захоронениями после кремации"
6,Северное,"194362,
Санкт-Петербург, Северное кладбище, д.1",ВЫБОРГСКИЙ,7801150184,"ООО СИЭМ
194294, Санкт-Петербург, п. Парголово, территория северное кладбище, д.1, лит. А.
Директор Кириллов Сергей Александрович",594-86-26,594-80-79,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ooosiem@yandex.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
7,Шуваловское,"194356,
Санкт-Петербург, Выборгское шоссе, д.108, корп.3",ВЫБОРГСКИЙ,7801150184,"ООО СИЭМ
194294, Санкт-Петербург, п. Парголово, территория северное кладбище, д.1, лит. А.
Директор Кириллов Сергей Александрович",554-16-59,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ooosiem@yandex.ru,общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
8,"Воинское кладбище ""Дом Лесника""","188640,
Санкт-Петербург, дор.в Каменку, д.37",ВЫБОРГСКИЙ,7801150184,"ООО СИЭМ
194294, Санкт-Петербург, п. Парголово, территория северное кладбище, д.1, лит. А.
Директор Кирилло Сергей Александрович",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ooosiem@yandex.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
9,"Воинское кладбище ""Лесотехническая академия""","194021,
Санкт-Петербург, Институтский пер., д.5, корп.15",ВЫБОРГСКИЙ,7805162198,"ООО АЛЬЯНС
195271, Санкт-Петербург, пр. Мечникова. д.31, лит. А. 
Директор Зайко Владимир Андреевич",544-75-23,544-75-24,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",bgslv@mail.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
10,"Воинское кладбище ""Осиновая роща""","194362,
Санкт-петербург, Песочное шоссе, д.35",ВЫБОРГСКИЙ,7801150184,"ООО СИЭМ
194294, Санкт-Петербург, п. Парголово, территория северное кладбище, д.1, лит. А.
Директор Кириллов Сергей Александрович",_,_,"Согласно п. 10.1 Постановления правительства СПб № 210 от 07.03.2006 года Кладбища ежедневно открыты для посещений, захоронений и оформления заказов с октября по апрель с 9 до 17 часов, с мая по сентябрь с 9 до 18 часов. Выходной день - 1 января.",ooosiem@yandex.ru,военное мемориальное безвозмездно предоставляются участки земли для погребения
