Район,Наименование организации,Сокращенное наименование,Адрес,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Примечание
Красногвардейский,Санкт-Петербургское государственное автономное общеобразовательное учреждение средняя общеобразовательная школа №577 с углубленным изучением английского языка Красногвардейского района Санкт-Петербурга,СПб ГАОУ средняя школа № 577 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Хасанская улица, дом 4, корпус 1, литера Б",Крошка Ольга Сергеевна,+7(812)524-43-91,+7(812)521-10-93,Sc577@rambler.ru,«Пороховые»,7806042270,1027804187916,
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №125 Красногвардейского района Санкт-Петербурга,ГБОУ средняя общеобразовательная школа № 125 Санкт-Петербурга,"Санкт-Петербург, Рябовское шоссе, дом 75, литера А",Потявина Марина Геннадьевна,+7(812)417-61-34,+7(812)417-61-34,Info@school125.spb.ru,«Ржевка»,7806043669,1037816037753,
Красногвардейский,Государственное бюджетное общеобразовательное учреждение гимназия № 177 Красногвардейского района Санкт-Петербурга,ГБОУ гимназия №177 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Ириновский проспект, дом 23, корпус 2, литера А",Голованова Нели Николаевна,+7(812)417-26-28,+7(812)417-26-28,Gimnspb177@gmail.com,«Пороховые»,7806037785,1037816029547,Http://177spb.edusite.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение Гимназия №196 Красногвардейского района Санкт-Петербурга,ГБОУ гимназия №196 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, проспект Ударников, дом 31, литера А",Шумилова Екатерина Викторовна,+7(812)417-22-02,+7(812)417-22-02,School196@bk.ru,«Пороховые»,7806057742,1027804194109,Http://196spb.edusite.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение гимназия №405 Красногвардейского района Санкт-Петербурга,ГБОУ гимназия №405 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, проспект Наставников, дом 40, корпус 2, литера А",Зарецкая Инесса Владимировна,+7(812)417-63-59,+7(812)526-67-56,School405@mail.ru,«Пороховые»,7806054822,1027804188004,Www.405spb.edusite.ru
Красногвардейский,"Государственное бюджетное общеобразовательное учреждение гимназия №628 Красногвардейского района Санкт-Петербурга ""Александринская гимназия""","ГБОУ гимназия № 628 Красногвардейского района Санкт-Петербурга ""Александринская гимназия""","г.Санкт-Петербург, улица Коммуны, дом 42, корпус 3, литера А",Квашнина Светлана Иосифовна,+7(812)529-23-12,+7(812)529-23-12,Gymn628@yandex.ru,«Ржевка»,7806104093,1027804177060,Http://628spb.edusite.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение гимназия №664 Красногвардейского района Санкт-Петербурга,ГБОУ гимназия №664,"г.Санкт-Петербург, проспект Ударников, дом 17, корпус 2, литера А",Романова Наталья Анатольевна,+7(812)417-61-82,+7(812)417-61-82,Gimnaz-int@mail.ru,«Полюстрово»,7806038796,1027804182559,664.klassnote.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение лицей № 265 Красногвардейского района Санкт- Петербурга,ГБОУ лицей №265 Санкт-Петербурга,"г.Санкт-Петербург, Белорусская улица, дом 10, литера А",Михайлова Елена Васильевна,+7(812)417-23-56,+7(812)417-23-56,265licspb@mail.ru,«Полюстрово»,7806103660,1027804194110,Лицей265.рф
Красногвардейский,"Государственное бюджетное общеобразовательное учреждение лицей № 533 ""Образовательный комплекс ""Малая Охта"" Красногвардейского района Санкт-Петербурга",ГБОУ лицей №533 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, Перевозный переулок, дом 19, литера А",Кунц Майя Юрьевна,+7(812)417-25-13,+7(812)417-25-13,Oo-lyceum-533@yandex.ru,«Малая Охта»,7806040322,1027804182560,Www.oo-lyceum-533.ru
Красногвардейский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 127 с углубленным изучением английского языка Красногвардейского района Санкт-Петербурга,ГБОУ средняя общеобразовательная школа № 127 Красногвардейского района Санкт-Петербурга,"г.Санкт-Петербург, проспект Ударников, дом 22, корпус 3, литера А",Катренко Олег Николаевич,+7(812)529-41-93,+7(812)417-25-09,School-127.spb@mail.ru,«Пороховые»,7806104400,1037816030890,Sch127.petersburgedu.ru
