№,Наименование,Сокращенное наименование,Адрес,Юридический адрес,Район города,Ближайшая станция метро,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Прочее
1,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская городская художественная школа им. Г.Н.Антонова""",СПб ГБУ ДО «Санкт-Петербургская городская детская художественная школа имени Г.Н. Антонова»,"190068, г.Санкт-Петербург, проспект Римского-Корсакова, дом 18/13, литер А","190068, г.Санкт-Петербург, проспект Римского-Корсакова, дом 18/13, литера А, помещение №1-Н",Адмиралтейский,Сенная Площадь,Борисова Инна Олеговна,246-30-43,246-30-43,spbghsh@yandex.ru,МО Коломна,7825441087,1047839021372,spb-artschool.ru
2,"Санкт-Петербургское государственное бюджетное образовательное учреждение дополнительного образования ""Санкт - Петербургская детская художественная школа №12""",СПб ГБУ ДО «Санкт-Петербургская детская художественная школа № 12»,"195257, г.Санкт-Петербург, Северный проспект, дом 69/98, литер А","195257, г.Санкт-Петербург, Северный проспект, дом 69/98, литера А,",Калининский,Академическая,Роков Иосиф Антонович,555-73-61,556-37-93,dhsh@yandex.ru,МО Академическое,7804151387,1047806031900,http://дхш12.рф
3,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Санкт-Петербургское художественное училище имени Н.К.Рериха""","СПб ГБПОУ ""Санкт-Петербургское художественное училище им. Н.К.Рериха""","195257, г.Санкт-Петербург, Гражданский проспект, дом 88, корпус 2, литер А","195257, г.Санкт-Петербург, Гражданский проспект, дом 88, корпус 2, литера А",Калининский,Академическая,Иванов Станислав Дмитриевич,555-84-44,550-86-83,rerihnk@mail.ru,МО Академическое,7804080601,1037808021240,rerihspbhu.ru
4,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская художественная школа ""Александрино""","СПб ГБУ ДО ""Санкт-Петербургская детская художественная школа ""Александрино""","198262, г.Санкт-Петербург, проспект Стачек, дом 226, литер А","198262, г.Санкт-Петербург, проспект Стачек, дом 226, литер А",Кировский,Ленинский проспект,Авикайнен Татьяна Эдуардовна,"246-29-39, 246-29-40, 246-29-38",246-29-39,aleksandrino.spb@mail.ru,МО Дачное,7805186872,1037811043225,alexandrino.ru
5,Санкт-Петербургское государственное бюджетное учреждение дополнительного образования «Санкт-Петербургская детская художественная школа № 13»,СПб ГБУ ДО «Санкт-Петербургская детская художественная школа № 13»,"196105, г.Санкт-Петербург, Свеаборгская улица, дом 23, литер А, помещение №2-Н","196105, Санкт-Петербург, ул. Свеаборгская д. 23, лит. А, часть помещения 2Н",Московский,Чернышевская,Южакова Лариса Александровна,241-34-94,241-34-94,art-school13@yandex.ru,МО Московская застава,7810213225,1047815029107,art-school13.ru
6,"Государственное бюджетное  учреждение дополнительного образования ""Санкт-Петербургская детская художественная школа им. Б.М. Кустодиева""","ГБУ ДО ""Санкт-Петербургская детская художественная школа имени Б.М. Кустодиева""","197022, г.Санкт-Петербург, Каменный остров, Боковая аллея, дом 1, литер А","197022, г.Санкт-Петербург, Каменный остров, Боковая аллея, дом 1, литера А,",Петроградский,"Черная речка, Петроградская",Керт Александр Борисович,234-13-95,234-13-95,artschool73@narod.ru,МО Чкаловское,7813138897,1037828010538,http://kustodiev-school.ru/
7,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская художественная школа № 17""","СПб ГБУ ДО ""СПб ДХШ №17""","197183, г.Санкт-Петербург, Приморский проспект, дом 87, литер А","197183, г. Санкт-Петербург, Приморский проспект, дом 87, литера А",Приморский,Старая Деревня,Терехов Николай Иванович,430-15-20,430-32-64,dhsh17@yandex.ru,МО № 66,7814115042,1037832017343,dhsh17.ru
8,Санкт-Петербургское государственное бюджетное учреждение дополнительного образования «Санкт-Петербургская детская художественная школа № 6»,СПб ГБУ ДО «Санкт-Петербургская детская художественная школа № 6»,"193024, г.Санкт-Петербург, Невский проспект, дом 146, литер А","191024, г.Санкт-Петербург, Невский проспект, дом 146, литера А, помещение №2-Н, 19-Н",Фрунзенский,Площадь Восстания,Александрова Алла Викторовна,274-07-42,274-05-69,dhsh6@rambler.ru,МО Смольнинское,7825442563,1057810316035,dhsh6.ru
9,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования""Санкт-Петербургская детская художественная школа № 16""","СПб ГБУ ДО ""ДХШ № 16""","192007, г.Санкт-Петербург, набережная Обводного канала, дом 46, корпус 2, литер А","192007, г.Санкт-Петербург, набережная Обводного канала, дом 46, корпус 2, литер А",Фрунзенский,Обводный канал,Гамбарян Каринэ Юрьевна,766-36-26,766-34-23,art-schola16@yandex.ru,МО № 71,7816172328,1037835062550,http://art-schkola16.ru/
10,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская Детская художественная школа № 2""",СПб ГБУ ДО «Санкт-Петербургская детская художественная школа № 2»,"191014, г.Санкт-Петербург, улица Некрасова, дом 10-12, литер А","191014, г.Санкт-Петербург, улица Некрасова, дом 10, литера А,помещения 12-Н, 15-Н",Центральный,Чернышевская,Каракозова Екатерина Николаевна,272-55-67,272-55-67,hudozhka2@yandex.ru,МО Литейный,7825131328,1037843137595,http://www.hudozhka2.ru/
