Порядковый номер,Наименование,Сокращенное наименование,Руководитель,Адрес,Телефон,Эл.почта,Сайт,ИНН,КПП,ОГРН
1,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципального образования муниципальный округ Коломна,МА МО Коломна,Шелепень Александр Александрович,"190068, Санкт-Петербург, набережная Крюкова канала, д. 11/43",714-08-43,Makolomna@inbox.ru,Kolomna-mo.ru,7839327088,783901001,1067847029557
2,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципального округа Сенной округ,МА МО Сенной округ,Курятникова Дарья Алексеевна,"190031, Санкт-Петербург, набережная реки Фонтанки, д. 89",310-16-96,Msmoso@mail.wplus.net,Sennoy-okrug.ru,7838339997,783801001,1057813063604
3,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципального округа Адмиралтейский округ,МА МО Адмиралтейский округ,Крылов Николай Вячеславович,"190000, Санкт-Петербург, ул. Декабристов, д. 18",312-31-83,Admiralokrug@mail.ru,Admiralokrug.ru,7826096732,783801001,1027810292707
4,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Семеновский,МА МО Семеновский,Лаптев Сергей Альбертович,"191180, Санкт-Петербург, Большой Казачий пер., д. 5-7",764-89-53,Ma@mosemenovskiy.ru,Семеновский.рф,7826029158,783801001,1037851018270
5,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Измайловское,МА МО Измайловское,Терентьев Игорь Михайлович,"190005, Санкт-Петербург, ул. Егорова, д. 18","575-08-95, 575-06-45",Ma@moizspb.ru,Moizspb.ru,7839007722,783901001,1037863015189
6,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Екатерингофский,МА МО Екатерингофский,И.о. Сорокина Эрика Игоревна,"190020, Санкт-Петербург, Нарвский пр., д. 16",8 (921) 094-11-11,Mail@ekateringof.spb.ru,Екатерингоф.рф,7826061384,783901001,1037851068672
7,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ №7,МА МО МО №7,И.о. Климова Елена Валентиновна,"199178, Санкт-Петербург, 12-я линия В.О., д. 7","321-20-46, 321-14-00;",Mcmo7@yandex.ru,Mo7spb.ru,7801395709,780101001,1057813165134
8,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Васильевский,МА МО Васильевский,Иванов Дмитрий Владимирович,"199004, Санкт-Петербург, 4-я линия В.О., д. 45","323-32-61, 323-32-34",Mcmo8@mail.ru,Msmov.spb.ru,7801396325,780101001,1057813218792
9,Местная администрация муниципального образования города федерального значения Санкт-Петербурга муниципального округа Гавань,МА МО Гавань,И.о. Харитонова Анна Викторовна,"199406, Санкт-Петербург, ул. Шевченко, д. 29","355-87-30, 355-54-19","Mogavan@mail.ru, info@mogavan.ru",Моягавань.рф,7801397921,780101001,1067847086009
10,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Морской,МА МО Морской,И.о. Ляпакина Светлана Владимировна,"199226, Санкт-Петербург, ул. Кораблестроителей, д. 21, корп. 1, лит. Д","356-55-22, 355-68-46",Brams10@mail.ru,Округморской-адм.рф,7801397022,780101001,1057813299796
11,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Остров Декабристов,МА МО Остров Декабристов,Литвинов Сергей Юрьевич,"199397, Санкт-Петербург, ул. Кораблестроителей, д. 35, корп. 5","351-19-15, 351-19-14",Vestnik_mo11@mail.ru,Ostrovdekabristov.ru,7801396808,780101001,1057813277972
12,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Сампсониевское,МА МО Сампсониевское,И.о. Михайлов Станислав Николаевич,"194100, Санкт-Петербург, Большой Сампсониевский пр., д. 86",596-32-78,Mosamson@mail.ru,Mo-12.ru,7802339560,780201001,1057813024521
13,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципального округа Светлановское,МА МО Светлановское,Кузьмин Сергей Сергеевич,"194223, Санкт-Петербург, пр. Тореза, д. 35/2",550-20-06,Info@mo-svetlanovskoe.ru,Mo-svetlanovskoe.spb.ru,7802120714,780201001,1037804028239
14,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Сосновское,МА МО Сосновское,Грицак Игорь Викторович,"194354, Санкт-Петербург, ул. Есенина, д. 7",511-65-05,Ma@mo-sosnovskoe.ru,Mo-sosnovskoe.ru,7802340269,780201001,1057813058335
15,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ № 15,МА МО № 15,И.о. Савченко Ростислав Анатольевич,"194352, Санкт-Петербург, Сиреневый бульвар, д. 18, корп. 1, лит. А",516-63-77,Mo15@nevalink.net,Mo15.spb.ru,7802342308,780201001,1057813263353
16,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципального округа Сергиевское,МА МО Сергиевское,Исаев Михаил Александрович,"194356, Санкт-Петербург, пр. Энгельса, д. 131, корп. 1, лит. А","640-66-21, 640-66-20",Mosergievskoe@mail.ru,Мосергиевское.рф,7802341103,780201001,1057813155135
17,Местная администрация внутригородского муниципального образования муниципальный округ Шувалово-Озерки,МА МО Шувалово-Озерки,Фролов Василий Николаевич,"194356, Санкт-Петербург, пр. Луначарского, д. 5","510-81-95, 510-86-81",Mo@ozerkispb.ru,Mo-shuvalovo-ozerki.spb.ru,7802122503,780201001,1027801563767
18,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Парголово,МА МО пос. Парголово,Могильникова Галина Александровна,"194362, Санкт-Петербург, п. Парголово, ул. Ломоносова, д. 17","513-84-48, 594-87-24",Info@mopargolovo.ru,Mopargolovo.ru,7802232256,780201001,1047803017020
19,Местная администрация внутригородского муниципального образования Санкт-Петербурга поселок Левашово,МА МО пос. Левашово,Федоров Сергей Николаевич,"194361, Санкт-Петербург, п. Левашово, ул. Железнодорожная, д. 46","594-91-93, 594-92-86",Molevashovo@yandex.ru,Molevashovo.spb.ru,7802174170,780201001,1027801576318
20,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Гражданка,МА МО Гражданка,Ласкателева Ирина Михайловна,"195256, Санкт-Петербург, пр. Науки, д. 41","535-35-61, 535-36-26",Mo.grajdanka@mail.ru,Grajdanka.ru,7804331598,780401001,1067847328185
21,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Академическое,МА МО Академическое,Гаврилова Елена Алексеевна,"195257, Санкт-Петербург, Гражданский пр., д. 84",555-26-59,Momoa@list.ru,Mo-akademicheskoe-spb.ru,7804086603,780401001,1037808002044
22,Местная администрация внутригородского муниципального образования города федерального значяения Санкт-Петербурга муниципальный округ Финляндский округ,МА МО Финляндский округ,Шесточенко Игорь Борисович,"195221, Санкт-Петербург, пр. Металлистов, д. 93, лит. А",544-58-41,Mo20fo@yandex.ru,Finokrug.spb.ru,7804170260,780401001,1037808037739
23,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ № 21,МА МО №21,Учаева Марина Ивановна,"195265, Санкт-Петербург, ул. Лужская, д. 10","531-38-58, 532-35-62",Okrug21@mail.ru,Okrug21.ru,7804077461,780401001,1027802510548
24,Местная администрация внутригородского муниципального образования Санкт-Петербурга муниципальный округ Пискаревка,МА МО Пискаревка,Фильчаков Владимир Борисович,"195067, г.Санкт-Петербург, Пискаревский проспект, дом 52, литера А",298-33-90,Mopiskarevka@yandex.ru,Мо-пискаревка.рф,7804327062,780401001,1057813075176
