№,Полное наименование муниципального совета муниципального образования,Сокращенное наименование муниципального совета муниципального образования,ФИО Главы муниципального образования,Адрес муниципального совета,телефон,e_mail,Сайт,ИНН,КПП,ОГРН
1,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Коломна,МС МО Коломна,Столяров Олег Евгеньевич,"190068, Санкт-Петербург, набережная Крюкова канала, д. 11/43",714-08-83,Mokolomna@inbox.ru,Kolomna-mo.ru,7826691202,783901001,1027810296062
2,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципального округа Сенной округ,МС МО Сенной округ,Астахова Анна Александровна,"190031, Санкт-Петербург, набережная реки Фонтанки, д. 89",310-29-22,Msmoso@mail.wplus.net,Sennoy-okrug.ru,7826692083,783801001,1027810229919
3,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга Муниципальный округ Адмиралтейский округ,МС МО Адмиралтейский округ,Барканов Евгений Павлович,"190000, Санкт-Петербург, ул. Декабристов, д. 18",312-31-83,Admiralokrug@mail.ru,Admiralokrug.ru,7826692630,783801001,1027810295556
4,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга Муниципальный округ Семеновский,МС МО Семеновский,Липинский Ян Александрович,"190013, Санкт-Петербург, ул. Серпуховская, д. 16",316-26-30,Ms@mosemenovskiy.ru,Cеменовский.рф,7826025883,783801001,1037851036376
5,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Измайловское,МС МО Измайловское,Бубнова Ольга Владимировна,"190005, Санкт-Петербург, ул. Егорова, д. 18",316-53-69,Ms@Moizspb.Ru,Moizspb.ru,7826026573,783901001,1027810266329
6,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Екатерингофский,МС МО Екатерингофский,Смакотин Олег Алексеевич,"190020, Санкт-Петербург, Нарвский пр., д. 16","252-40-03, +7 (921) 094-11-11",Mail@ekateringof.spb.ru,Екатерингоф.рф,7826026421,783901001,1037851027917
7,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ №7,МС МО №7,Евдокимов Михаил Вадимович,"199178, Санкт-Петербург, 12-я линия В.О., д. 7","321-20-46, 321-14-00",Mcmo7@yandex.ru,Mo7spb.ru,7801108440,780101001,1027800565550
8,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Васильевский,МС МО Васильевский,Фигурин Игорь Стефанович,"199004, Санкт-Петербург, 4-я линия В.О., д. 45",328-58-31,Mcmo8@mail.ru,Msmov.spb.ru,7801109098,780101001,1037800008840
9,Муниципальный совет внутригородского муниципального образования города федерального значения Санкт-Петербурга муниципальный округ Гавань,МС МО Гавань,Вавилина Нэлли Юрьевна,"199406, Санкт-Петербург, ул. Шевченко, д. 29","355-87-30, 355-54-19",Mogavan@mail.ru,Моягавань.рф,7801109517,780101001,1037800001942
10,Муниципальный совет внутригородского муниципального образования Санкт-Петербурга муниципальный округ Морской,МС МО Морской,Кольцова Татьяна Алексеевна,"199226, Санкт-Петербург, ул. Кораблестроителей, д. 21, корп. 1, лит. Д",356-55-22,Brams10@mail.ru,Округморской-адм.рф,7801112904,780101001,1027800549325
