Наименование организации,Юридический адрес,Фактический адрес,Телефон для справок,Электронная почта,Сайт,Координаты
"ПАО ""ТГК-1""","197198, г. Санкт-Петербург, пр. Добролюбова, д.16, корп. 2, литера А","197198, г. Санкт-Петербург, пр. Добролюбова, д.16, корп. 2, литера А","+7 (812) 688-36-06, +7 (812) 688-34-77",office@tgc1.ru,http://www.tgc1.ru,"59.950181,30.294928"
"АО ""Теплосеть Санкт-Петербурга""","191119, г. Санкт-Петербург, ул. Черняховского, д.36","191119, г. Санкт-Петербург, ул. Черняховского, д.36","+7 (812) 688-49-45, +7 (812) 688-49-47",teploset@teplosetspb.ru,https://www.teplosetspb.ru/,"59.920158,30.358278"
"ГУП ""ТЭК СПб""","190000, г. Санкт-Петербург, ул. М. Морская, д.12","190000, г. Санкт-Петербург, ул. М. Морская, д.12","+7 (812) 312-58-22, +7 (812) 314-53-54",info@gptek.spb.ru,http://www.gptek.spb.ru/,"59.934952,30.311736"
"ООО ""Петербургтеплоэнерго""","194044, г. Санкт-Петербург, Б. Сампсониевский проспект, д. 60","194044, г. Санкт-Петербург, Б. Сампсониевский проспект, д. 60","+7 (812) 334-50-60, +7 (812) 334-50-60 ",office@ptenergo.ru,https://ptenergo.ru,"59.974261,30.339063"
"АО ""Юго-Западная ТЭЦ""","198328, г. Санкт-Петербург, ул. Доблести, д.1","198328, г. Санкт-Петербург, ул. Доблести, д.1","+7 (812) 245-35-00, +7 (812) 245-35-00 ",office@uztec.ru,http://uztec.ru,"59.869801,30.18599"
"ОАО ""НПО ""ЦКТИ""","191167, г. Санкт-Петербург, ул. Атаманская, д. 3/6","191167, г. Санкт-Петербург, ул. Атаманская, д. 3/6","+7 (812) 717-23-79, +7 (812) 717 43 00",general@ckti.ru,http://ckti.ru,"59.917551,30.377106"
"АО ""ГСР ТЭЦ""","196651, г. Санкт-Петербург, Колпино, ул. Финляндская, д.5","196651, г. Санкт-Петербург, Колпино, ул. Финляндская, д.5","+7 (812) 339-37-36 , +7 (812) 339-30-42",info@gsrenergy.ru,http://www.gsrenergy.ru,"59.752127,30.593178"
"ЗАО ""Тепломагистраль""","191186, г. Санкт-Петербург, ул. М. Конюшенная, д. 14. лит. А, пом. 15Н","191186, г. Санкт-Петербург, ул. М. Конюшенная, д. 14. лит. А, пом. 15Н",+7 (812) 314-89-14,-,-,"59.936341,30.322866"
"ООО ""Генерирующая компания ""Обуховоэнерго""","192012, г. Санкт-Петербург, проспект Обуховской обороны, д. 120","192012, г. Санкт-Петербург, проспект Обуховской обороны, д. 120",+7 (812) 600-61-20,Gko@gko.spb.ru,http://gko.spb.ru,"59.863165,30.475876"
ФГБУ «ЦЖКУ» МО РФ по ЗВО,"191123, г. Санкт-Петербург, Воскресенская наб., д.10, литера А","191123, г. Санкт-Петербург, Воскресенская наб., д.10, литера А",+7 (812) 275-98-41,info@zhky.ru,http://zhky.ru/,"59.949555,30.366201"
