№,Полное наименование точки продаж билетов,Виды продаваемых билетов,Адрес,Район города,Ближайшая станция метро,Ответственный за точку продаж билетов,Телефон,Факс,Примечания,Координаты
1,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, б-р Новаторов, д.98в",Кировский,Пр.Ветеранов-1,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.8411157,30.2514713"
2,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, б-р Новаторов, д.108а",Кировский,Пр.Ветеранов-2,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.8414917,30.2483203"
3,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, Ленинский пр., д.127",Кировский,Ленинский пр.-1,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.8513357,30.2645073"
4,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, б-р Новаторов, д.10",Кировский,Ленинский пр.-2,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.8495507,30.2672193"
5,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, пр.Стачек, д.90 к2",Кировский,Автово,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.8673019,30.2590665"
6,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, пр.Стачек, д.70",Кировский,Кировский з-д,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.8797387,30.2595303"
7,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, пл. Стачек, д.2",Адмиралтейский,Нарвская,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.9012169,30.2726746"
8,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, пл.Балтийского вокзала, д.1",Адмиралтейский,Балтийская,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.9074257,30.2975683"
9,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, пр.Загородный, д.50",Адмиралтейский,Пушкинская,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.9209867,30.3295823"
10,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, пл.Восстания, д.2",Центральный,Пл.Восстания-1,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.9315942,30.3582534"
11,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, Лиговский пр., д.16",Центральный,Пл.Восстания-2,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.929656,30.361805"
12,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, пр.Чернышевского, д.20",Центральный,Чернышевская,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.9445417,30.3575313"
13,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, пл. Ленина, д.6",Калининский,Пл.Ленина-1,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.9558676,30.3535306"
14,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, ул. Академика Лебедева, д.31",Калининский,Пл.Ленина-2,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.9587545,30.3514297"
15,СПб ГУП «Петербургский метрополитен»,Все виды,"Г. Санкт-Петербург, ул.Смолячкова, д.21",Выборгский,Выборгская,Е.Г. Козин,8 (812) 251-65-58,8 (812) 251-65-58,-,"59.9710533,30.3461457"
